source_id,title,issuing_body,date,version_or_status,url,source_type,jurisdiction,authority_level,propositions,limitations,last_verified
S062,"Iowa Rule 32:1.18: Duties to Prospective Client","Iowa Supreme Court / Iowa Legislature","2015-10-15","current official Iowa Rules of Professional Conduct compilation accessed 2026-08-07","https://www.legis.iowa.gov/docs/publications/ICRC/32.pdf","court-adopted professional-conduct rule in official state compilation","Iowa","controlling professional-conduct baseline","prospective-client status; written oral and electronic communications; invited and unilateral submissions; confidentiality; significantly harmful information; limiting initial consultation; informed consent; screening and written notice","compilation is dated December 2020 but records Rule 32:1.18 amendment history through 2015; it does not address or validate AI intake summarization; the Iowa Bar listing for Formal Opinion 512 links to the ABA opinion rather than an Iowa-issued opinion","2026-08-07"
S063,"Kansas Rule 240 1.18: Duties to Prospective Client","Kansas Supreme Court",unknown,"current official Kansas Courts rule page and 2026 rulebook accessed 2026-08-07","https://kscourts.gov/Rules-Orders/Rules/1-18-Client-Lawyer-Relationship-Duties-to-Prospect","court-adopted professional-conduct rule","Kansas","controlling professional-conduct baseline","prospective-client status; written oral and electronic communications; invited and unilateral submissions; confidentiality; significantly harmful information; limiting initial consultation; informed consent; screening and written notice","does not address or validate AI intake summarization; Supreme Court AI committee work concerns AI involving Kansas courts and Kansas Bar AI materials located were CLE education rather than adopted intake-specific ethics authority","2026-08-07"
S064,"Kentucky SCR 3.130(1.18): Duties to Prospective Client","Kentucky Supreme Court","2009-07-15","adopted by Supreme Court Order 2009-05 and accessed 2026-08-07","https://www.kycourts.gov/Courts/Supreme-Court/Supreme%20Court%20Orders/200905.pdf","court-adopted professional-conduct rule","Kentucky","controlling professional-conduct baseline","prospective-client status; confidentiality; significantly harmful information; informed consent; limited exposure; screening and written notice","the adoption order supplies the controlling rule text but does not address AI performance or validate an intake product","2026-08-07"
S065,"Kentucky Ethics Opinion KBA E-455: Prospective Clients","Kentucky Bar Association","2022-05-20","formally adopted ethics opinion accessed 2026-08-07","https://kybar.org/Portals/0/Admin/Ethics%20Opinions/KBA%20E-455.pdf?ver=26b8saKGwR2UOr4Xy_25LQ%3D%3D","state-bar ethics opinion","Kentucky","official intake-specific ethics guidance","facts-and-circumstances test; in-person and electronic communications; reasonable expectations; limited conflict-check collection; warnings; nonrepresentation notice; screening","intake-specific but not AI-specific and does not validate summarization performance; authority level remains distinct from the court-adopted rule","2026-08-07"
S066,"Massachusetts Rule of Professional Conduct 1.18: Duties to Prospective Client","Massachusetts Supreme Judicial Court",unknown,"current official rule page updated 2022-10-01 and accessed 2026-08-07","https://www.mass.gov/supreme-judicial-court-rules/rules-of-professional-conduct-rule-118-duties-to-prospective-client","court-adopted professional-conduct rule","Massachusetts","controlling professional-conduct baseline","prospective-client status; invited electronic communications; clear warnings; confidentiality; significantly harmful information; limited initial collection; informed consent; screening and written notice","does not address or validate AI intake summarization; Commonwealth judicial-branch GenAI guidelines govern judicial personnel rather than private-lawyer intake, and the Trial Court Law Libraries survey is a discovery aid","2026-08-07"
S067,"Mississippi Bar Ethics Opinion No. 267: Generative Artificial Intelligence","Mississippi Bar Ethics Committee","2024-11-14","formal ethics opinion current and accessed 2026-08-07","https://www.msbar.org/ethics-discipline/ethics-opinions/formal-opinions/267/","state-bar formal ethics opinion","Mississippi","official general AI-practice ethics guidance","confidentiality safeguards; vendor terms privacy and retention; de-identification; informed consent; competence; supervision; testing and verification of AI summaries; fees and disclosure","general AI-practice opinion rather than intake-specific prospective-client authority; its permission to use generative AI is conditional and does not validate any product or configuration","2026-08-07"
S068,"Nevada Rule of Professional Conduct 1.18: Duties to Prospective Client","Nevada Supreme Court","2014-04-04","ADKT 0493 amendment order and current Supreme Court amendments index accessed 2026-08-07","https://acis-api.nvcourts.gov/courts/dc01122c-a19d-4eb7-bfe9-5b96e93c26fd/cms/case/921845ae-2eab-47c9-9953-d9a5b47e19c6/docketentrydocuments/e41a86ba-7c66-4b62-91be-ebc61ebc52ee","court-adopted professional-conduct rule","Nevada","controlling professional-conduct baseline","prospective-client status; confidentiality; significantly harmful information; limited initial exposure; informed consent; screening and written notice; no reasonable expectation or good-faith intent exclusion; advance consent conditions","does not address AI intake summarization or validate a product; Nevada Bar AI magazine and practice-management materials located are educational rather than adopted ethics authority","2026-08-07"
S069,"New Jersey RPC 1.18 and ACPE Opinion 695: Prospective Clients and Unsolicited Website Communications","Supreme Court of New Jersey and Advisory Committee on Professional Ethics","2004-02-18","current official Rules of Professional Conduct page and formal opinion accessed 2026-08-07","https://www.njcourts.gov/sites/default/files/notices/2004/03/OPINION695_02182004.pdf","court-adopted professional-conduct rule plus formal ethics opinion","New Jersey","controlling baseline and official intake-specific ethics guidance","communications in consultation; confidentiality; significantly harmful information; consent; screening; unsolicited website submissions; reasonable expectations; advance disclaimers","Opinion 695 concerns website communications rather than generative-AI summarization and does not validate any intake product; current rule text remains controlling","2026-08-07"
S070,"Preliminary Guidelines on the Use of Artificial Intelligence by New Jersey Lawyers and 2026 AI Policy Notice","Supreme Court of New Jersey","2024-01-24","preliminary guidelines and March 30 2026 official notice accessed 2026-08-07","https://njsba.com/wp-content/uploads/2024/01/Preliminary-Guidelines-on-the-Use-of-AI-by-NJ-Lawyers.pdf","official court guidance","New Jersey","official general AI-practice guidance","competence; confidentiality; accuracy and truthfulness; supervision; understanding capabilities and limitations; internal policies; periodic review","general guidance rather than intake-specific authority; does not establish the accuracy safety or effectiveness of a named summarization system","2026-08-07"
S071,"Rule 16-118 NMRA: Duties to Prospective Client","Supreme Court of New Mexico","2015-12-31","current rule text and amendment history accessed 2026-08-07","https://nmonesource.com/nmos/nmra/en/item/5688/index.do","court-adopted professional-conduct rule","New Mexico","controlling prospective-client baseline","prospective-client status; confidentiality; significantly harmful information; consent; limited initial collection; screening; written notice","rule text does not address generative-AI intake summarization or validate product performance","2026-08-07"
S072,"Formal Ethics Advisory Opinion 2024-004: Using Generative Artificial Intelligence in the Practice of Law","State Bar of New Mexico Ethics Advisory Committee","2024-09-24","formal opinion and official opinion index accessed 2026-08-07","https://www.sbnm.org/Portals/NMBAR/GenAI%20Formal%20Opinion%20-%20Sept_2024_FINAL.pdf","formal ethics advisory opinion","New Mexico","official general AI-practice guidance","competence; diligence; communication; confidentiality; conflicts; independent verification; candor; supervision; fees; vendor data practices","general AI guidance rather than intake-specific approval; advisory opinion does not establish the accuracy safety or effectiveness of a named summarization product","2026-08-07"
S073,"New York Rules of Professional Conduct Rule 1.18: Duties to Prospective Clients","Appellate Divisions of the Supreme Court of the State of New York","2025-06-25","current consolidated rules published December 2025 and accessed 2026-08-07","https://www.nycourts.gov/ad3/agc/rules/22NYCRR-Part-1200.pdf","court-adopted professional-conduct rule","New York","controlling prospective-client baseline","consultation and prospective-client status; confidentiality; significantly harmful information; consent; limited initial collection; screening; written notice; unilateral communications; disqualification-purpose communications; invited electronic submissions and clear warnings","rule and comments do not approve generative-AI intake summarization or establish the accuracy safety or effectiveness of a named product; NYC Bar opinions remain persuasive local guidance rather than statewide controlling authority","2026-08-07"
S074,"Rule 1.18: Duties to Prospective Client","North Carolina State Bar","2014-10-02","current official rule text accessed 2026-08-07","https://www.ncbar.gov/for-lawyers/ethics-and-governing-rules/rules-of-professional-conduct/10-119-client-lawyer-relationship/118-duties-to-prospective-client/","state professional-conduct rule","North Carolina","controlling prospective-client baseline","prospective-client status; confidentiality; significantly harmful information; consent; screening; written notice; invited electronic communications; clear warnings; limited initial collection","rule text does not approve generative-AI intake summarization or establish the accuracy security accessibility or effectiveness of a named product","2026-08-07"
S075,"2011 Formal Ethics Opinion 8: Utilizing Live Chat Support Service on Law Firm Website","North Carolina State Bar","2011-07-15","current official adopted-opinion text accessed 2026-08-07","https://www.ncbar.gov/for-lawyers/ethics-and-governing-rules/ethics-opinions/opinions/2011-formal-ethics-opinion-8/","adopted formal ethics opinion","North Carolina","official intake-specific ethics guidance","potential-client initiation; nonlawyer identification; no legal advice by agent; inadvertent relationship risk; careful information collection; confidentiality and conflict consequences of live-chat intake","opinion concerns human-operated live chat rather than generative-AI summarization and does not validate any product vendor or configuration","2026-08-07"
S076,"Rule 1.18: Duties to Prospective Client","North Dakota Supreme Court","2016-07-01","current official rule text and version history accessed 2026-08-07","https://www.ndcourts.gov/legal-resources/rules/ndrprofconduct/1-18","court-adopted professional-conduct rule","North Dakota","controlling prospective-client baseline","prospective-client status; confidentiality; significantly harmful information; consent; reasonable exposure controls; prompt notice; invited electronic communications; clear warnings; limited initial collection","rule does not address generative-AI intake summarization or establish the accuracy security accessibility or effectiveness of a named product; no adopted North Dakota AI-specific ethics guidance was located in the bounded official-source search","2026-08-07"
S077,"Ohio Rule of Professional Conduct 1.18: Duties to Prospective Client","Supreme Court of Ohio",2014,"current official rules compilation and Rule 1.18 text accessed 2026-08-07","https://www.supremecourt.ohio.gov/pdf_viewer/pdf_viewer.aspx?pdf=909861.pdf&source=DL_Clerk&subdirectory=2021-1143%5CDocketItems","court-adopted professional-conduct rule",Ohio,"controlling prospective-client baseline","prospective-client status; confidentiality; significantly harmful information; consent; reasonable exposure limits; screening; prompt written notice; invited written oral and electronic communications; clear warnings; limited initial collection","rule does not address generative-AI intake summarization or establish the accuracy security accessibility or effectiveness of a named product","2026-08-07"
S078,"Artificial Intelligence for Lawyers and Judicial Officers: Ohio Ethics Guide","Ohio Board of Professional Conduct staff",2026,"official guide linked from the Supreme Court of Ohio AI Resource Library and accessed 2026-08-07","https://www.bpc.ohio.gov/_files/ugd/c6a571_4e12e5f9a0104eaebe9351007c899b4f.pdf","official nonbinding Board-staff ethics guide",Ohio,"official general AI-practice guidance","competence; capabilities and limitations; independent source verification for AI summaries; client confidentiality; vendor terms privacy security retention and training; communication; independent judgment; fees; supervision of lawyers staff and vendors","guide expressly does not reflect the views or opinions of the Board commissioners or Supreme Court, does not endorse any product, is not intake-specific authority, and does not establish product accuracy security accessibility or effectiveness","2026-08-07"
S079,"Rule 1.18: Duties to Prospective Client","Oklahoma Supreme Court",2017,"current Official Oklahoma Statutes text and Oklahoma Supreme Court amendment order accessed 2026-08-07","https://govt.westlaw.com/okjc/Document/N32AC5990107B11DCA0BCE207F6B84988?contextData=%28sc.Default%29&originationContext=documenttoc&transitionType=CategoryPageItem&viewType=FullText","court-adopted professional-conduct rule","Oklahoma","controlling prospective-client baseline","prospective-client status; confidentiality; significantly harmful information; consent; reasonable exposure controls; screening; prompt written notice; invited written oral and electronic communications; clear warnings; limited initial collection","rule does not address generative-AI intake summarization or establish the accuracy security accessibility or effectiveness of a named product; no Oklahoma-adopted AI-specific ethics opinion was located in the bounded official-source search","2026-08-07"
S080,"Oregon Rule of Professional Conduct 1.18: Duties to Prospective Client","Oregon Supreme Court","2014-01-01","current Oregon Rules of Professional Conduct effective 2026-02-01 and accessed 2026-08-07","https://www.osbar.org/_docs/rulesregs/orpc.pdf","court-adopted professional-conduct rule","Oregon","controlling prospective-client baseline","consultation and prospective-client status; confidentiality; significantly harmful information; informed written consent; reasonable measures to avoid unnecessary disqualifying information; screening; prompt written notice","Oregon's rule text does not include the ABA comments on invited electronic submissions or clear warnings and does not authorize or validate AI intake summarization","2026-08-07"
S081,"Formal Opinion No. 2025-205: Artificial Intelligence Tools","Oregon State Bar Board of Governors",2025,"formal opinion and official ethics-opinion library accessed 2026-08-07","https://www.osbar.org/_docs/ethics/2025-205.pdf","formal ethics advisory opinion","Oregon","official general AI-practice guidance","competence; ongoing tool evaluation; data storage and prompt handling; hallucinations; vendor due diligence; training and supervision; client communication; fees; confidentiality; informed consent; provider contracts and data lifecycle","general AI-practice guidance rather than intake-specific approval; opinion does not endorse a product or establish accuracy security accessibility or effectiveness","2026-08-07"
S082,"Formal Opinion No. 2026-208: Chatbots and AI Agent Communications","Oregon State Bar Board of Governors",2026,"formal opinion and official ethics-opinion library accessed 2026-08-07","https://www.osbar.org/_docs/ethics/2026-208.pdf","formal ethics advisory opinion","Oregon","official chatbot and AI-agent ethics guidance","prospective-client chatbots; competence; storage and training-data controls; vendor due diligence; monitoring and supervision; inadvertent relationship formation; disclaimers and lawyer notification; false or misleading communications; unauthorized legal advice; vulnerable-person solicitation; confidentiality","opinion permits qualified use subject to continuing safeguards but does not approve intake summarization as a category or validate any product vendor model configuration or human-review process","2026-08-07"
S083,"204 Pa. Code Rule 1.18: Duties to Prospective Clients","Supreme Court of Pennsylvania",2013,"current official Pennsylvania Code text and amendment history accessed 2026-08-07","https://www.pacodeandbulletin.gov/secure/pacode/data/204/chapter81/s1.18.html","court-adopted professional-conduct rule in official state code","Pennsylvania","controlling prospective-client baseline","prospective-client status; written oral and electronic communications; invited submissions; clear warnings; unilateral communications; disqualification-purpose communications; limited initial collection; confidentiality; significantly harmful information; consent; screening; written notice; advance informed-consent conditions","rule does not address or validate generative-AI intake summarization; whether a consultation occurs remains circumstance-specific and Joint Formal Opinion 2024-200 is separate nonbinding general AI guidance","2026-08-07"
S084,"Article V Rule 1.18: Duties to Prospective Client","Rhode Island Supreme Court",2007,"current Rhode Island Judiciary rules compilation revised October 2023 and accessed 2026-08-07","https://www.courts.ri.gov/attorney-resources/Documents/Supreme-Rules-Article5_oct%202023.pdf","court-adopted professional-conduct rule","Rhode Island","controlling prospective-client baseline","prospective-client status; confidentiality; significantly harmful information; informed written consent; reasonable measures to limit disqualifying information; screening; prompt written notice; unilateral communications; limited initial interview; advance informed-consent conditions","rule does not contain later ABA electronic-submission and clear-warning comments and does not address or validate generative-AI intake summarization","2026-08-07"
S085,"Final Ethics Advisory Panel Opinion 2016-06","Rhode Island Supreme Court Ethics Advisory Panel",2016,"final opinion accessed 2026-08-07","https://www.courts.ri.gov/Opinions/EAP%2016-06.pdf","final ethics advisory-panel opinion","Rhode Island","official prospective-client confidentiality guidance","Rule 1.18 confidentiality after an initial consultation; information learned from a prospective client; no representation required for the duty to attach","fact-specific advisory application concerning disclosure to an existing client; not generative-AI guidance and not product validation","2026-08-07"
S086,"Interim Guidelines for the Ethical Use of Generative AI by Rhode Island Lawyers","Rhode Island Supreme Court",2026,"interim guidelines published July 2026 and accessed 2026-08-07","https://www.courts.ri.gov/attorney-resources/Documents/Interim_Guidelines_Ethical_Use_of_Generative_AI_by_RI_Lawyers.pdf","official interim Supreme Court guidance","Rhode Island","official general AI-practice and prospective-client chatbot guidance","competence; diligence; communication; fees; confidentiality; vendor terms privacy security retention and breach review; conflicts and AI-aware screening; prospective-client chatbots and AI agents; misrepresentation; unintended confidential-information acquisition; inadvertent relationship formation; independent judgment","guidelines describe themselves as a general non-comprehensive evolving rubric; they identify duties and risks but do not endorse or validate any product model vendor configuration disclaimer or human-review process","2026-08-07"
